term,outlet,type,source_text,cluster_id,cluster_name
deceased,Fox News,shooter,"Greenwald noted how Biden began with a proper, emotional response to the tragic loss of life, but quickly pivoted to blaming the""gun lobby"" for the mass shooting allegedly committed by now-deceased suspect Salvador Ramos.",0,Cluster_0
barricaded,WSJ,shooter,"""The on-scene commander at that time believed it had transitioned from an active shooter to a barricaded subject,"" Steven McCraw, director of the Texas Department of Public Safety, said at a news conference on Friday.",0,Cluster_0
active,WSJ,shooter,"""The on-scene commander at that time believed it had transitioned from an active shooter to a barricaded subject,"" Steven McCraw, director of the Texas Department of Public Safety, said at a news conference on Friday.",0,Cluster_0
active,WSJ,shooter,"""Obviously, based upon the information we have, children in that classroom were at risk and it was in fact still an active shooter . . .",0,Cluster_0
charging,WSJ,shooter,"It isn't clear if charging the gunman sooner would have saved lives, but that is what we expect of law enforcement.",0,Cluster_0
elementary,WSJ,shooter,"The Border Patrol agent who killed the mass shooter at an elementary school here Tuesday belonged to a small, elite team that has a presence in this town and responded to calls about the incident on local police radio.",0,Cluster_0
killed,WSJ,shooter,"The Border Patrol agent who killed the mass shooter at an elementary school here Tuesday belonged to a small, elite team that has a presence in this town and responded to calls about the incident on local police radio.",0,Cluster_0
confronted,WSJ,shooter,"The agent and two colleagues who confronted the shooter belong to the Border Patrol Tactical Unit, known as Bortac.",0,Cluster_0
locked,WSJ,shooter,"Initially, the Bortac agents couldn't get into the classroom where the shooter locked himself because of a steel door and cinder block construction.",0,Cluster_0
killed,WSJ,shooter,A third killed the suspect.,0,Cluster_0
second,WSJ,victim,One Bortac agent took rounds to their shield upon entering and a second was wounded by shrapnel.,0,Cluster_0
opened,WSJ,shooter,"When a gunman opened fire Tuesday in a classroom using a semiautomatic weapon, killing 19 children and two teachers, he sent tragedy ricocheting through this community.",0,Cluster_0
entered,WSJ,shooter,"Local residents voiced anger about the time it took to end the mass shooting at an Uvalde, Texas, elementary school, as police laid out a fresh timeline that showed the gunman entered the building unobstructed after lingering outside for 12 minutes firing shots.",0,Cluster_0
showed,WSJ,shooter,"Local residents voiced anger about the time it took to end the mass shooting at an Uvalde, Texas, elementary school, as police laid out a fresh timeline that showed the gunman entered the building unobstructed after lingering outside for 12 minutes firing shots.",0,Cluster_0
identified,WSJ,shooter,"Police identified the gunman as Salvador Ramos, a resident of Uvalde, where the school is located.",0,Cluster_0
including,WSJ,victim,"An 18-year-old man opened fire in an elementary school here Tuesday, killing at least 19 students and two adults, including a teacher, before he was killed by law enforcement, officials said.",0,Cluster_0
former,WSJ,victim,"Uvalde, a city of around 16,000, is about 80 miles west of San Antonio.

Ramos, a former student at Uvalde High School, shot his grandmother before going to Robb Elementary School, police said.",0,Cluster_0
locked,WSJ,shooter,"Police who responded to the mass shooting at an elementary school here waited around an hour to enter the classroom where the gunman had locked himself because a commander on scene incorrectly thought no lives were at risk despite multiple 911 calls from children inside, the director of the Texas Department of Public Safety said Friday.",0,Cluster_0
barricaded,WSJ,shooter,"The first 911 call regarding the shooter came in at 11:30 a.m. Tuesday, minutes before local police arrived and the shooter barricaded himself inside two connected fourth-grade classrooms at Robb Elementary School, Mr. McCraw said.",0,Cluster_0
came,WSJ,shooter,"The first 911 call regarding the shooter came in at 11:30 a.m. Tuesday, minutes before local police arrived and the shooter barricaded himself inside two connected fourth-grade classrooms at Robb Elementary School, Mr. McCraw said.",0,Cluster_0
arrived,WSJ,shooter,"The first 911 call regarding the shooter came in at 11:30 a.m. Tuesday, minutes before local police arrived and the shooter barricaded himself inside two connected fourth-grade classrooms at Robb Elementary School, Mr. McCraw said.",0,Cluster_0
killed,WSJ,shooter,"A Border Patrol tactical team ultimately did so, and killed the shooter, at 12:50 p.m., he said.",0,Cluster_0
barricaded,WSJ,shooter,"""The on scene commander at that time believed it had transitioned from an active shooter to a barricaded subject,"" Mr. McCraw said.",0,Cluster_0
active,WSJ,shooter,"""The on scene commander at that time believed it had transitioned from an active shooter to a barricaded subject,"" Mr. McCraw said.",0,Cluster_0
active,WSJ,shooter,"""Obviously, based upon the information we have, children in that classroom were at risk, and it was in fact still an active shooter . . .",0,Cluster_0
found,WSJ,victim,Ultimately 19 children and two teachers were found dead.,0,Cluster_0
begging,WSJ,victim,"From 12:03 to 12:46, he added, 911 dispatchers received numerous calls from within the classroom, including repeated calls from a child whispering that people were dead and begging: ""Please send the police now.""",0,Cluster_0
recent,WSJ,victim,A holiday weekend clouded by public grief over 31 people killed in recent attacks by teenage gunmen ended on Monday with focus on a perennial question: Can bitterly divided lawmakers reach any kind of accord aimed at preventing mass shootings?,0,Cluster_0
locked,WSJ,shooter,"Police who responded to the mass shooting at an Uvalde, Texas, elementary school waited around an hour to enter the classroom where the gunman had locked himself because a commander on scene incorrectly thought no lives were at risk, the director of the Texas Department of Public Safety said.",0,Cluster_0
described,WSJ,shooter,"A Texas Department of Public Safety spokesman, Lieutenant Chris Olivarez, described the gunman as ""just a complete evil person.",0,Cluster_0
evil,WSJ,shooter,"Writing in Time magazine about the slaughter of 16 schoolchildren and a teacher in Dunblane, Scotland, 26 years ago, I called it an evil act; I said that the shooter himself, a man named Hamilton, was evil.",0,Cluster_0
said,WSJ,shooter,"Writing in Time magazine about the slaughter of 16 schoolchildren and a teacher in Dunblane, Scotland, 26 years ago, I called it an evil act; I said that the shooter himself, a man named Hamilton, was evil.",0,Cluster_0
going,WSJ,shooter,"The killing of 19 children and two teachers at an elementary school in Uvalde Texas, makes this year the third most deadly for active school-shooter events going back to 1970.",0,Cluster_0
active,WSJ,shooter,"The killing of 19 children and two teachers at an elementary school in Uvalde Texas, makes this year the third most deadly for active school-shooter events going back to 1970.",0,Cluster_0
killed,WSJ,shooter,"The gunman who killed 19 students and two teachers in an elementary school here had a confrontation with an armed security guard before getting into the building and sent a private Facebook message about his intention to commit the mass shooting minutes before driving there, officials said Wednesday.",0,Cluster_0
had,WSJ,shooter,"The gunman who killed 19 students and two teachers in an elementary school here had a confrontation with an armed security guard before getting into the building and sent a private Facebook message about his intention to commit the mass shooting minutes before driving there, officials said Wednesday.",0,Cluster_0
killed,WSJ,shooter,"The gunman who killed 19 students and two teachers at an elementary school in Uvalde, Texas, had a confrontation with an armed security guard before getting into the building and sent a private Facebook message about his intention to commit the mass shooting minutes before driving there, officials said.",0,Cluster_0
had,WSJ,shooter,"The gunman who killed 19 students and two teachers at an elementary school in Uvalde, Texas, had a confrontation with an armed security guard before getting into the building and sent a private Facebook message about his intention to commit the mass shooting minutes before driving there, officials said.",0,Cluster_0
shot,WSJ,victim,"An Iranian Revolutionary Guard officer who was shot dead in Tehran on Sunday led the group's efforts to assassinate opponents of Iran around the world, according to people familiar with the matter.",0,Cluster_0
entered,WSJ,shooter,"Local residents voiced anger Thursday about the time it took to end the mass shooting at an elementary school here, as police laid out a fresh timeline that showed the gunman entered the building unobstructed after lingering outside for 12 minutes firing shots.",0,Cluster_0
showed,WSJ,shooter,"Local residents voiced anger Thursday about the time it took to end the mass shooting at an elementary school here, as police laid out a fresh timeline that showed the gunman entered the building unobstructed after lingering outside for 12 minutes firing shots.",0,Cluster_0
deceased,WSJ,shooter,"Victor Escalon, a regional director for the Texas Department of Public Safety, gave a new timeline of how the now-deceased gunman, 18-year-old Salvador Ramos, walked into Robb Elementary School, barricaded himself in a classroom and killed 19 children and two teachers.",0,Cluster_0
walked,WSJ,shooter,"Victor Escalon, a regional director for the Texas Department of Public Safety, gave a new timeline of how the now-deceased gunman, 18-year-old Salvador Ramos, walked into Robb Elementary School, barricaded himself in a classroom and killed 19 children and two teachers.",0,Cluster_0
